service_date,unique_patients,non_hospital_ammount,unique_service_codes,total_racords,total_amount_net
2023-01-11,348,2087712.21,357,1362,2225134.89
2023-01-12,401,2505841.32,433,1547,2687608.38
2023-01-13,392,2350149.67,373,1408,2486223.22
2023-01-14,342,2145177.19,331,1272,2172470.56
2023-01-15,302,1841102.01,317,1300,1900362.01
2023-01-16,435,2868105.79,405,1647,2962667.8
2023-01-17,429,2818695.35,417,1694,2932171.93
2023-01-18,430,2807078.13,392,1625,2946240.78
2023-01-19,455,3002305.32,441,1779,3199474.46
2023-01-20,418,2622821.65,385,1503,2722658.95
2023-01-21,389,2484567.04,336,1467,2561056.64
2023-01-22,327,1887439.59,347,1144,1969095.19
2023-01-23,458,2656962.37,417,1664,2815877.94
2023-01-24,485,2937181.72,454,1795,3199022.43
2023-01-25,466,2813450.89,423,1686,3037640.55
2023-01-26,470,3150008.98,455,1956,3401207.6
2023-01-27,480,2948455.74,413,1771,3136684.5
2023-01-28,429,2633729.26,385,1551,2734068.21
2023-01-29,333,1879726.39,316,1148,1981825.17
2023-01-30,475,2871758.92,486,1850,3162413.65
2023-01-31,512,3195243.07,478,2004,3524284.24
2023-02-01,494,3030389.28,495,1982,3393971.35
2023-02-02,474,2782832.37,409,1852,3038870.19
2023-02-03,499,2950676.61,475,1850,3309906.63
2023-02-04,425,2714186.2,417,1470,2837338.24
2023-02-05,305,1703895.38,340,1212,1846148.25
2023-02-06,452,2776133.63,393,1525,2915900.51
2023-02-07,503,2858490.81,449,1740,3086457.33
2023-02-08,512,3223675.86,441,1988,3381802.56
2023-02-09,516,3151126.27,434,1819,3248356.61
2023-02-10,470,2815961.95,401,1674,2942555.23
2023-02-11,427,2614987.6,363,1434,2687745.02
2023-02-12,331,2109521.37,351,1308,2171466.65
2023-02-13,484,2972951.07,440,1678,3112414.5
2023-02-14,480,2797315.07,439,1793,2962621.13
2023-02-15,497,2886886.04,443,1788,3084242.61
2023-02-16,498,3030799.24,432,1794,3202386.8
2023-02-17,495,2846170.84,396,1612,2923781.86
2023-02-18,396,2401278.65,335,1349,2487471.5
2023-02-19,320,1860580.45,308,1194,1960525.62
2023-02-20,511,3044188.14,447,1842,3274873.17
2023-02-21,511,2868388.06,388,1693,3045242.83
2023-02-22,455,2614681.42,393,1445,2769244.26
2023-02-23,275,1723683.27,326,1034,1804207.15
2023-02-24,287,1765516.13,333,1141,1873793.86
2023-02-25,298,1711830.24,286,1062,1798772.12
2023-02-26,303,1885308.15,320,1187,1954622.11
2023-02-27,475,2739602.2,427,1736,3066436.73
2023-02-28,518,3092268.22,470,1952,3321766.16
2023-03-01,476,2938962.1,413,1706,3070236.25
2023-03-02,482,2905478.05,452,1774,3051988.33
2023-03-03,475,2773489.1,411,1561,2922072.16
2023-03-04,424,2769637.75,421,1672,2879703.94
2023-03-05,338,2048005.85,377,1311,2156033.38
2023-03-06,488,2893534.88,441,1761,3064874.85
2023-03-07,519,3058684.94,458,1922,3309046.34
2023-03-08,281,1615411.33,314,1056,1688068.28
2023-03-09,496,3042814.76,435,1822,3248383.31
2023-03-10,472,2780654.42,408,1592,2974743.14
2023-03-11,430,2814181.04,449,1704,2930670.4
2023-03-12,366,2108187.1,376,1473,2197205.4
2023-03-13,526,3091845.79,483,1904,3359303.93
