service_date,unique_patients,non_hospital_ammount,unique_service_codes,total_racords,lag_1,EMA_12,total_amount_net
2023-09-03,1917,17667895.02,1052,10391,18852102.268899392,18212770.38143212,18605273.83
2023-09-10,1895,17806145.18,1036,11042,18687549.976299796,18380952.359929636,19305952.86
2023-09-17,1960,18160883.66,1014,10643,19099818.565433264,18535152.62703277,19383253.8
2023-09-24,1958,18338422.07,1078,11120,19288775.388477754,18704213.40513414,19634047.41
2023-10-01,1959,18130183.24,1013,10848,19518956.73615925,18815650.56329938,19428554.78
2023-10-08,2005,19393328.87,1001,11215,19458688.765386418,19084752.72018462,20564814.27
2023-10-15,1969,18273074.16,1037,10637,20196105.76846214,19134638.064633872,19409007.41
2023-10-22,2135,20983638.75,1001,11680,19671373.529487383,19529435.762202874,21700822.77
2023-10-29,2056,19247679.35,1032,11276,21024339.689829126,19688189.77907713,20561336.76
2023-11-05,1939,17513151.77,891,10340,20715671.069943044,19512605.740033124,18546893.63
2023-11-12,2156,19788709.07,1095,12265,19269819.443314347,19790888.069323644,21321440.74
2023-11-19,2197,20764028.04,1004,11911,20637566.974438116,20121618.546537235,21940636.03
2023-11-26,2246,20548979.69,1033,11648,21506279.67814604,20360493.088039372,21674302.98
2023-12-03,2346,22237412.36,1088,12974,21618295.212715346,20930194.324365295,24063550.95
2023-12-10,2327,21953169.81,1057,12700,23248465.70423845,21318718.734539777,23455602.89
2023-12-17,2296,20005890.98,1039,11625,23386557.161412816,21342559.776182607,21473685.5
2023-12-24,2138,19494912.54,1104,11233,22111309.387137607,21240194.538468637,20677185.75
2023-12-31,1830,16066752.58,955,9127,21155226.962379202,20582478.20284732,16965038.46
