service_date,unique_patients,hospital_ammount,non_hospital_ammount,hospital_unique_patients,unique_service_codes,high_cost_proportion,service_code_hhi,mean_ammount,total_racords,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,EMA_7,EMA_14,total_amount_net
2022-01-31,362,232559.82,2026291.33,11,383,0.2285714285714285,0.0088224489795918,1613.465107142857,1400,1670939.9520115599,2068675.113810749,1825003.560509062,2095745.8885714284,2116565.387857143,2032668.8076865978,2028194.7140512385,2258851.15
2022-02-01,391,198828.71,2335978.54,8,350,0.2815964523281596,0.0093384223501577,1873.4717294900224,1353,2062880.75067052,2194433.6706928676,1953461.8527502427,2108439.794285714,2116881.9650000003,2158216.029787951,2096443.477390067,2534807.25
2022-02-02,368,255449.84,2288334.77,8,402,0.2592852137351086,0.0072999009492081,1782.6100981079187,1427,2377498.416890173,2183621.227087713,2012957.332694665,2162980.9685714287,2135705.7521428573,2254615.437506721,2156624.236464985,2543784.61
2022-02-03,398,127367.61,2532618.08,6,395,0.2405871091257179,0.0090992059015536,1697.5020357370772,1567,2488355.878963391,2173381.5541768223,2030590.7927614944,2235421.4614285715,2175002.1742857145,2355963.727263412,2224260.472414354,2659985.69
2022-02-04,376,230173.45,2131416.98,9,383,0.2360912981455064,0.0072659599797314,1684.443958630528,1402,2602775.752987797,2201657.518870059,2096667.7468643542,2250190.181428571,2172709.3242857144,2357370.462562704,2242694.2845614613,2361590.43
2022-02-05,341,64301.49,2065293.41,7,336,0.2660699755899105,0.0092257824039469,1732.786737184703,1229,2441985.5376625992,2096666.1078440007,2021130.614197884,2284891.82,2204714.939285714,2300424.7619726746,2227526.5460624644,2129594.9
2022-02-06,285,53883.1,1621858.73,4,282,0.2264705882352941,0.0088985005767012,1642.8841470588236,1020,2233725.1125541995,1899653.5817623935,1930584.352439027,2309193.694285714,2215594.8471428575,2144250.3061191435,2153584.2106882064,1675741.83
2022-02-07,387,178160.22,2348217.96,8,415,0.2358674463937621,0.0071728306398803,1641.5712670565304,1539,1861736.2575180668,2019386.1288720258,2023723.8963103702,2347411.8414285714,2221578.8649999998,2239783.982576119,2203507.1833399017,2526378.18
2022-02-08,375,149867.71,2288488.84,11,396,0.2236065573770491,0.0081547970975544,1598.9223278688523,1525,2304830.8725060225,2191193.192554778,2100522.9172600056,2333633.1700000004,2221036.4821428573,2289427.790094993,2234938.8998676194,2438356.55
2022-02-09,396,151736.36000000002,2455983.15,10,441,0.2486772486772486,0.0068429635228577,1724.6822156084654,1512,2393847.9908353407,2308723.6756657083,2111703.5637076306,2342766.727142857,2252873.847857143,2369001.520311239,2284805.8720837417,2607719.51
2022-02-10,382,134877.45,2300325.15,9,401,0.2467353951890034,0.0077112929700877,1673.678762886598,1455,2536429.0036117802,2425811.020836548,2119196.234195214,2310654.8571428573,2273038.1592857144,2385551.91506377,2304915.6995303547,2435202.6
2022-02-11,389,165220.36,2196006.73,11,344,0.2570621468926554,0.008454626703693,1667.5332556497174,1416,2468944.73453726,2404404.1563639264,2144476.8803220447,2310602.9514285713,2280396.5664285715,2379470.674397288,2312442.3516461174,2361227.09
2022-02-12,361,66665.53,2191263.42,4,360,0.234375,0.0092521226110537,1603.6427201704546,1408,2397132.97151242,2312801.0684546544,2097596.9583928925,2328936.387142857,2306914.1035714285,2349085.1143835243,2305158.409695809,2257928.95
2022-02-13,271,76137.75,1616863.83,6,340,0.2036866359447004,0.0081471256556733,1560.3701198156682,1085,2304330.2905041403,2100447.985176243,1989950.613750093,2331402.0657142857,2320297.88,2185063.7088770424,2223386.805534727,1693001.58
2022-02-14,428,151511.17,2350213.4,8,412,0.2326454033771107,0.0083397182651289,1564.5557035647278,1599,1896777.8168347136,2242424.718475033,2038847.4752894577,2327880.121428571,2337645.9814285715,2264229.113084024,2260557.875030726,2501724.57
2022-02-15,403,151483.69,2394868.86,9,410,0.2491277041172365,0.0070606660176898,1776.9382763433357,1433,2300075.6522782375,2307735.3295019,2129030.815019845,2343308.121428571,2338470.645714286,2334760.0985533325,2298716.6507598767,2546352.55
2022-02-16,433,178706.33000000002,2539751.75,10,423,0.2251340083382966,0.0085004084722428,1619.0935556879094,1679,2464260.250759412,2407730.056863883,2204446.641035682,2359127.9171428573,2350947.322142857,2430684.722683455,2354749.393382409,2718458.08
2022-02-17,420,120209.27,2389880.64,8,428,0.2293697205977907,0.0087408978007794,1630.9875958414557,1539,2633725.4702531374,2416887.571274903,2287277.354955853,2369826.104285714,2340240.4807142857,2450536.039498779,2375483.018639294,2510089.91
2022-02-18,389,158309.7,2074975.4,7,382,0.2454212454212454,0.0079308725462571,1636.1063003663005,1365,2551301.763417713,2398334.077472955,2300789.5481944964,2351548.677142857,2331075.814285714,2396223.263612749,2356506.1969440435,2233285.1
